X,Y,ID,XCOORD,YCOORD,join_id,join_@id,join_area,join_highw,join_surfa,join_int_r,join_lanes,join_maxsp,join_max_1,join_onewa,join_ref,join_name,NUM_10NOND,NUM_10DEAT,Num_50Deat,Num_50NonD,ID_id,Crossing_T,Crossing_D,Traf_light,Traf_lig_1,stops_Targ,stops_Dist,bump_Targe,bump_Dista
31.3093769,58.582446,0,31.309377,58.582446,way/41722818,way/41722818,,tertiary,,,2,,,,,Керамическая улица,0,0,0,0,0,node/4570994749,1030.274095786970700,node/230461929,861.205243613758630,node/4570994750,1382.292449351022700,node/2355856384,1495.131757933130100
31.219939583361828,58.623006119101753,1,31.219940,58.623006,way/38522847,way/38522847,,unclassified,,,,40,,,,,0,0,0,0,1,node/5678275733,4348.486209848885700,node/177601891,8500.631060701236500,node/6010350323,5970.433150905854700,node/455885382,523.624740574104980
31.287505135943302,58.548889238045277,2,31.287505,58.548889,way/654169015,way/654169015,,primary,asphalt,,2,,,yes,,улица Державина,0,0,0,0,2,node/7462162478,333.159302522052880,node/479789030,578.216225885844780,node/313454217,812.484962677729300,node/287866254,2111.847612203700000
31.29653184942066,58.547835455053303,3,31.296532,58.547835,way/172394142,way/172394142,,primary,asphalt,,2,,,yes,,улица Державина,0,0,0,5,3,node/7462162480,47.405134323202354,node/2206310654,179.364951662196750,node/313454217,276.354596140885410,node/1570949864,1699.001118283540100
31.292934759649849,58.537103770727661,4,31.292935,58.537104,way/175995458,way/175995458,,tertiary,,,2,,,,,Студенческая улица,0,0,0,0,4,node/5267706312,479.340630951977690,node/1864659869,487.424364649681880,node/525298753,534.840206986243740,node/287866254,1057.976453344240100
31.318197353088458,58.528659409402053,5,31.318197,58.528659,way/173171791,way/173171791,,primary,asphalt,,2,RU:urban,,,,,0,0,0,0,5,node/3941682237,553.942954174836360,node/1982059585,1711.860038353682100,node/525298735,768.949478567328810,node/3941904154,677.336772878220020
31.2900134,58.5111544,6,31.290013,58.511154,way/36836894,way/36836894,,unclassified,,,,,,,,,0,0,0,0,6,node/6724059950,520.331714011462050,node/246262,1362.197667020445100,node/525298698,541.926456868098170,node/3673045106,1106.299995420969900
31.405762317664639,58.623486514260655,7,31.405762,58.623487,way/367750176,way/367750176,,secondary,asphalt,,,,,,,Армейская улица,0,0,0,0,7,node/4773038317,4234.324301495608800,node/7463852740,6222.475659394269300,node/2849847592,4206.599381743715600,node/1578386259,693.492001527753020
31.265695519353724,58.542078229132322,8,31.265696,58.542078,way/31371872,way/31371872,,secondary,asphalt,,4,,,,,Великая улица,0,0,0,0,8,node/280225592,32.251078640000109,node/15500382,429.531418743989380,node/455878384,200.546152613858620,node/3940315867,186.724434478957990
31.233620273211109,58.586149600500733,9,31.233620,58.586150,way/31374763,way/31374763,,primary,asphalt,,,90,,,49А-04,,0,0,0,0,9,node/5678275733,999.327437352911830,node/177601891,4374.551073227317800,node/267426824,4027.306994022309000,node/6340965220,3028.818178793329900
31.406370154535526,58.624042958063853,10,31.406370,58.624043,way/367750176,way/367750176,,secondary,asphalt,,,,,,,Армейская улица,0,0,0,1,10,node/4773038317,4252.594252039833900,node/7463852740,6280.356940851450400,node/2849847592,4223.471062334884700,node/1578386259,764.817177294789990
31.327722909682567,58.584482263656632,11,31.327723,58.584482,way/230114113,way/230114113,,unclassified,,,,,,,,,0,0,0,0,11,node/7429024597,1549.213499490375400,node/7463852740,2103.436853820905100,node/2355865875,1258.808754192166400,node/2355870389,1451.582859964770000
31.264479169307926,58.616486151282601,12,31.264479,58.616486,way/108497261,way/108497261,,unclassified,,,,,,,,,0,0,0,0,12,node/4570994749,3573.567285819480700,node/230461929,3962.050984883982400,node/6010350323,4336.437012877546300,node/455885362,2508.149310886320100
31.3187513,58.5345722,13,31.318751,58.534572,way/186615133,way/186615133,,unclassified,,,,,,,,,0,0,0,0,13,node/3941682237,316.696895744406900,node/293139220,1091.218899769942000,node/525298735,643.280358250913080,node/3941904154,485.545423308961970
31.321482534753681,58.53301499467878,14,31.321483,58.533015,way/391011109,way/391011109,,secondary,asphalt,,2,RU:urban,,,,Московская улица,0,0,0,0,14,node/3941682237,432.685180713933280,node/293139220,1310.090576643278800,node/525298735,780.933472226452860,node/3941904154,290.866142364943020
31.265002983901446,58.491294541071156,15,31.265003,58.491295,way/219874164,way/219874164,,secondary,asphalt,,2,,,yes,,Юрьевское шоссе,0,0,0,0,15,node/286825337,346.416760425197880,node/1143738665,3423.282908114010300,node/5996483888,1177.313381906603600,node/4744460853,2483.799277488630200
31.307647607589811,58.56931822800172,16,31.307648,58.569318,way/226853376,way/226853376,,tertiary,,,,60,,,,Береговая улица,0,0,0,0,16,node/6517705022,351.321940449246310,node/2475693877,663.452414557552060,node/1572585952,831.102939898647830,node/2355856384,32.684878286483602
31.270543560610133,58.513447256433764,17,31.270544,58.513447,way/481522310,way/481522310,,secondary,asphalt,,2,40,,yes,,Троицкая улица,0,0,0,0,17,node/4744460861,13.683429124010726,node/1143738665,951.002494643136630,node/4744460860,24.755835068667285,node/4744460853,5.983158462457150
31.315087469833504,58.543255405873296,18,31.315087,58.543255,way/172396360,way/172396360,,primary,asphalt,,3,RU:urban,,yes,,улица Державина,0,0,0,2,18,node/5273143682,74.465555015406792,node/293139220,152.916558729591710,node/892890934,455.380058865866320,node/3941904154,1327.533675734800000
