Дата,Время,Место,Улица,Дом,Адрес,Дорог,Килом,Метр,Full Addre,Latitude,Longitude,Погиб,Поги_1,Ранен,Ране_1,join_id,join_@id,join_area,join_highw,join_surfa,join_int_r,join_lanes,join_maxsp,join_max_1,join_onewa,join_ref,join_name,join_snowp,join_descr,join_smoot,join_troll,join_width,DTP_ID,Crossing_T,Crossing_D,Traf_light,Traf_lig_1,stops_Targ,stops_Dist,bump_Targe,bump_Dista
15.10.2020,9:00,"Новгородская область, Великий Новгород",Александра Корсунова пр-кт,"41",,,,,"Новгородская область, Великий Новгород Александра Корсунова пр-кт 41",58.5456599000,31.2332830000,"0","0","0","0",way/31366976,way/31366976,,secondary,asphalt,,"4",,,,,проспект Александра Корсунова,,,bad,yes,,"297",node/6723493975,154.174265299875344,node/177601891,161.563623807656796,node/1106263196,29.427081273714464,node/299484487,561.788975048595830
15.10.2020,8:35,"Новгородская область, Великий Новгород",Советской Армии ул,"19",,,,,"Новгородская область, Великий Новгород Советской Армии ул 19",58.5591721000,31.3082621000,"0","0","0","0",way/226853374,way/226853374,,secondary,asphalt,,"2",RU:urban,,,,улица Советской Армии,,,,,,"298",node/6517704994,558.196342755348155,node/2475693877,590.343832378469301,node/892890934,1565.329934412074863,node/1570949864,282.036702428532180
15.10.2020,8:30,"Новгородская область, Великий Новгород",Александра Корсунова пр-кт,"17",,,,,"Новгородская область, Великий Новгород Александра Корсунова пр-кт 17",58.5436260000,31.2473320000,"0","0","0","0",way/175881858,way/175881858,,primary,asphalt,,"3",,,yes,,проспект Александра Корсунова,,,,yes,,"299",node/1864273548,89.965876000014561,node/1864273486,106.086795755447497,node/893969478,75.442262672844819,node/302050384,1080.264877094803524
15.10.2020,7:05,"Новгородская область, Великий Новгород",Нехинская ул,"55",,,,,"Новгородская область, Великий Новгород Нехинская ул 55",58.5235287000,31.2337736000,"0","0","0","0",way/208699635,way/208699635,,primary,asphalt,,"4",,,,,Нехинская улица,,,,,,"300",node/1839788936,238.226127550834974,node/288423994,134.104602713606226,node/299374454,149.656308629193745,node/6418406602,401.031927959006339
15.10.2020,1:20,"Новгородская область, Великий Новгород",,,,,,,"Новгородская область, Великий Новгород",58.5255698000,31.2741929000,"0","0","0","0",way/343394383,way/343394383,,primary,asphalt,,"4",,,,,Большая Санкт-Петербургская улица,,,,yes,,"301",node/4990972812,197.091420383545085,node/929986794,20.643818708429631,node/282529583,127.917172599045770,node/299480496,432.236438264066237
14.10.2020,20:00,"Новгородская область, Великий Новгород",Мира пр-кт,"18",,,,,"Новгородская область, Великий Новгород Мира пр-кт 18",58.5393521000,31.2327032000,"0","0","0","0",way/207591121,way/207591121,,primary,asphalt,,"4",,,,,проспект Мира,,,,yes,,"302",node/6723493912,64.871753563163466,node/18485131,170.247299796713804,node/2016736494,122.515098900385965,node/293342970,195.004573697232814
14.10.2020,20:00,"Новгородская область, Великий Новгород",Победы-Софийская пл,"1",,,,,"Новгородская область, Великий Новгород Победы-Софийская пл 1",58.5242507000,31.2725751000,"0","0","0","0",way/209252339,way/209252339,,primary,asphalt,,"4",,,,,улица Газон,,,,,,"303",node/5698502680,23.595618646480588,node/944850585,117.163719333270265,node/422675615,285.800574934175415,node/299480496,427.345234278563908
14.10.2020,19:40,"Новгородская область, Великий Новгород",Псковская ул,44 к.1,,,,,"Новгородская область, Великий Новгород Псковская ул 44 к.1",58.5228690000,31.2597690000,"0","0","0","0",way/173053640,way/173053640,,primary,asphalt,,"2",,,yes,,Чудинцева улица,,,,,,"304",node/177578311,6.595940725019094,node/256640,276.472532599632700,node/892696734,62.244643883031301,node/299480496,670.740690772038533
14.10.2020,19:15,"Новгородская область, Великий Новгород",Рабочая ул,"17",,,,,"Новгородская область, Великий Новгород Рабочая ул 17",58.5630526000,31.2674982000,"0","0","0","0",way/226855746,way/226855746,,secondary,asphalt,,"4",,,,,Рабочая улица,,,bad,,,"305",node/287858831,545.730481618059002,node/3974064301,489.506353887132491,node/2016732107,505.453081119873787,node/6340964470,1208.765675835840057
14.10.2020,18:30,"Новгородская область, Великий Новгород",,,,,,,"Новгородская область, Великий Новгород",58.5255698000,31.2741929000,"0","0","0","0",way/343394383,way/343394383,,primary,asphalt,,"4",,,,,Большая Санкт-Петербургская улица,,,,yes,,"306",node/4990972812,197.091420383545085,node/929986794,20.643818708429631,node/282529583,127.917172599045770,node/299480496,432.236438264066237
14.10.2020,14:15,"Новгородская область, Великий Новгород",Большая Санкт-Петербургская ул,43а,,,,,"Новгородская область, Великий Новгород Большая Санкт-Петербургская ул 43а",58.5437140000,31.2595149000,"0","0","0","0",way/179660374,way/179660374,,tertiary,,,"1",,,,,,,,,,,"307",node/3384716146,150.524622053906768,node/15500382,633.097222780318816,node/892942639,214.955032364068501,node/3940315867,550.299896047539733
14.10.2020,13:30,"Новгородская область, Великий Новгород",,,,,,,"Новгородская область, Великий Новгород",58.5255698000,31.2741929000,"0","0","0","0",way/343394383,way/343394383,,primary,asphalt,,"4",,,,,Большая Санкт-Петербургская улица,,,,yes,,"308",node/4990972812,197.091420383545085,node/929986794,20.643818708429631,node/282529583,127.917172599045770,node/299480496,432.236438264066237
14.10.2020,12:05,"Новгородская область, Великий Новгород",Великая ул,"22",,,,,"Новгородская область, Великий Новгород Великая ул 22",58.5406775000,31.2685808000,"0","0","0","0",way/31371872,way/31371872,,secondary,asphalt,,"4",,,,,Великая улица,,,bad,,,"309",node/4609075390,30.451684736156711,node/15500382,326.836977032799950,node/414572452,571.377977592034085,node/3940315866,7.261497411843401
14.10.2020,11:15,"Новгородская область, Великий Новгород",,,,,,,"Новгородская область, Великий Новгород",58.5255698000,31.2741929000,"0","0","0","0",way/343394383,way/343394383,,primary,asphalt,,"4",,,,,Большая Санкт-Петербургская улица,,,,yes,,"310",node/4990972812,197.091420383545085,node/929986794,20.643818708429631,node/282529583,127.917172599045770,node/299480496,432.236438264066237
14.10.2020,9:50,"Новгородская область, Великий Новгород",Исакиевский пер,13/21,,,,,"Новгородская область, Великий Новгород Исакиевский пер 13/21",58.5149455000,31.2535215000,"0","0","0","0",way/186544554,way/186544554,,tertiary,,,"2",,,,,Славянская улица,,,,,,"311",node/6726986198,322.999948919119333,node/244045107,651.627210255817886,node/898669415,529.423853649262355,node/7765694918,777.935356217714912
13.10.2020,21:45,"Новгородская область, Великий Новгород",,,,,,,"Новгородская область, Великий Новгород",58.5255698000,31.2741929000,"0","0","0","0",way/343394383,way/343394383,,primary,asphalt,,"4",,,,,Большая Санкт-Петербургская улица,,,,yes,,"312",node/4990972812,197.091420383545085,node/929986794,20.643818708429631,node/282529583,127.917172599045770,node/299480496,432.236438264066237
13.10.2020,15:25,"Новгородская область, Великий Новгород",Мира пр-кт,"4",,,,,"Новгородская область, Великий Новгород Мира пр-кт 4",58.5452520000,31.2348100000,"0","0","0","0",way/191072323,way/191072323,,primary,asphalt,,"3",,,yes,,,,,,,,"313",node/3503974934,42.210907699065821,node/177601891,297.868110791998618,node/893968216,110.551543101217177,node/299484487,497.187463503725439
13.10.2020,14:10,"Новгородская область, Великий Новгород",Студенческая ул,15/2,,,,,"Новгородская область, Великий Новгород Студенческая ул Fri Feb 14 2020 22:00:00 GMT+0100 (CET)",58.5361099000,31.2975367000,"0","0","0","0",way/175995458,way/175995458,,tertiary,,,"2",,,,,Студенческая улица,,,,,,"314",node/5267706626,93.817491120066677,node/1864659869,308.725257162827859,node/525298753,390.931201300128976,node/287866254,1199.012256918452749
13.10.2020,7:45,"Новгородская область, Великий Новгород",Мира пр-кт,"15",,,,,"Новгородская область, Великий Новгород Мира пр-кт 15",58.5356710000,31.2342860000,"0","0","0","0",way/199408947,way/199408947,,primary,asphalt,,"4",,,,,проспект Мира,,,,yes,,"315",node/5594305671,32.711840872203616,node/18485131,179.774557549873919,node/893968217,150.144280559586917,node/299484495,302.027382877316541
13.10.2020,7:40,"Новгородская область, Великий Новгород",Федоровский Ручей ул,15а,,,,,"Новгородская область, Великий Новгород Федоровский Ручей ул 15а",58.5233880000,31.2911560000,"0","0","0","0",way/31386304,way/31386304,,primary,asphalt,,"3",,,,,улица Фёдоровский Ручей,,,,,,"316",node/6724059956,53.813954763036683,node/246262,53.007506397816194,node/598450199,11.917684030470603,node/1319831809,908.780405269747916
13.10.2020,4:55,"Новгородская область, Великий Новгород",Ломоносова ул,"37",,,,,"Новгородская область, Великий Новгород Ломоносова ул 37",58.5287712000,31.2401683000,"0","0","0","0",way/238058632,way/238058632,,secondary,asphalt,,"2","40",,yes,,улица Ломоносова,,,bad,,,"317",node/5691531511,89.711434949656990,node/2205077492,269.314580340602959,node/299374451,41.102760145528592,node/6418406602,221.555506426098674
12.10.2020,21:50,"Новгородская область, Великий Новгород",Ломоносова ул,"29",,,,,"Новгородская область, Великий Новгород Ломоносова ул 29",58.5312079000,31.2428640000,"0","0","0","0",way/175868882,way/175868882,,secondary,asphalt,,"2",,,yes,,улица Ломоносова,,,bad,,,"318",node/2205077499,49.991435581010698,node/2205077490,91.406335831708319,node/455880570,40.264335907015010,node/6425003413,178.258706600293067
12.10.2020,21:15,"Новгородская область, Великий Новгород",,,,,,,"Новгородская область, Великий Новгород",58.5255698000,31.2741929000,"0","0","0","0",way/343394383,way/343394383,,primary,asphalt,,"4",,,,,Большая Санкт-Петербургская улица,,,,yes,,"319",node/4990972812,197.091420383545085,node/929986794,20.643818708429631,node/282529583,127.917172599045770,node/299480496,432.236438264066237
12.10.2020,20:15,"Новгородская область, Великий Новгород",Большая Московская ул,"86",,,,,"Новгородская область, Великий Новгород Большая Московская ул 86",58.5344680000,31.2986040000,"0","0","1","1",way/199414017,way/199414017,,tertiary,asphalt,,"2",,,,,Хутынская улица,,,,,,"320",node/5267706316,19.397585536369956,node/1864659869,179.889679296740269,node/525298772,204.130874995618200,node/287866254,1178.603874980236242
12.10.2020,19:25,"Новгородская область, Великий Новгород",,,,,,,"Новгородская область, Великий Новгород",58.5255698000,31.2741929000,"0","0","0","0",way/343394383,way/343394383,,primary,asphalt,,"4",,,,,Большая Санкт-Петербургская улица,,,,yes,,"321",node/4990972812,197.091420383545085,node/929986794,20.643818708429631,node/282529583,127.917172599045770,node/299480496,432.236438264066237
12.10.2020,19:15,"Новгородская область, Великий Новгород",,,,,,,"Новгородская область, Великий Новгород",58.5255698000,31.2741929000,"0","0","0","0",way/343394383,way/343394383,,primary,asphalt,,"4",,,,,Большая Санкт-Петербургская улица,,,,yes,,"322",node/4990972812,197.091420383545085,node/929986794,20.643818708429631,node/282529583,127.917172599045770,node/299480496,432.236438264066237
12.10.2020,14:50,"Новгородская область, Великий Новгород",Ломоносова ул,"29",,,,,"Новгородская область, Великий Новгород Ломоносова ул 29",58.5312079000,31.2428640000,"0","0","1","0",way/175868882,way/175868882,,secondary,asphalt,,"2",,,yes,,улица Ломоносова,,,bad,,,"323",node/2205077499,49.991435581010698,node/2205077490,91.406335831708319,node/455880570,40.264335907015010,node/6425003413,178.258706600293067
12.10.2020,13:30,"Новгородская область, Великий Новгород",Александра Корсунова пр-кт,21 А,,,,,"Новгородская область, Великий Новгород Александра Корсунова пр-кт 21 А",58.5438430000,31.2457010000,"0","0","0","0",way/175868865,way/175868865,,primary,asphalt,,"3",,,yes,,проспект Александра Корсунова,,,,yes,,"324",node/2163011256,15.243857924024690,node/1864273486,9.952696936612863,node/455881964,55.385009280533474,node/302050384,1060.227885303170069
12.10.2020,12:20,"Новгородская область, Великий Новгород",Большая Власьевская ул,"4",,,,,"Новгородская область, Великий Новгород Большая Власьевская ул 4",58.5164630000,31.2686730000,"0","0","0","0",way/25329937,way/25329937,,tertiary,,,"1",,,yes,,Телегина-Редятина улица,,,,,,"325",node/6724059923,18.985134272877918,node/1143738665,572.332568276484722,node/3712201691,91.430753017039763,node/4744460857,180.826725152710537
12.10.2020,11:20,"Новгородская область, Чудовский район, Трегубовский",,,,"""Россия"" Москва - Тверь - Великий Новгород - Санкт-Петербург (основное направление)","576","360","Новгородская область, Чудовский район, Трегубовский   ""Россия"" Москва - Тверь - Великий Новгород - Санкт-Петербург (основное направление) 576 36",58.5255698000,31.2741929000,"0","0","0","0",way/343394383,way/343394383,,primary,asphalt,,"4",,,,,Большая Санкт-Петербургская улица,,,,yes,,"326",node/4990972812,197.091420383545085,node/929986794,20.643818708429631,node/282529583,127.917172599045770,node/299480496,432.236438264066237
12.10.2020,10:00,"Новгородская область, Великий Новгород",Александра Корсунова пр-кт,"39",,,,,"Новгородская область, Великий Новгород Александра Корсунова пр-кт 39",58.5452550000,31.2370760000,"0","0","0","0",way/31376068,way/31376068,,primary,asphalt,,"3",,,yes,,проспект Александра Корсунова,,,,yes,,"327",node/293923952,3.374866688130647,node/1864401730,326.818019472257333,node/893969479,58.696618382359283,node/299484487,508.187644370857299
12.10.2020,9:40,"Новгородская область, Великий Новгород",Большая Московская ул,82/2,,,,,"Новгородская область, Великий Новгород Большая Московская ул 82/2",58.5332143000,31.2975644000,"0","0","0","0",way/172900774,way/172900774,,secondary,asphalt,,"2",,,,,Московская улица,,,,,,"328",node/5692785648,5.574258580587868,node/1864659869,15.549573896965287,node/525298753,99.937710422336039,node/287866254,1065.463094710677979
12.10.2020,9:40,"Новгородская область, Великий Новгород",Мира пр-кт,44/20,,,,,"Новгородская область, Великий Новгород Мира пр-кт 44/20",58.5253442000,31.2294079000,"0","0","0","0",way/199409880,way/199409880,,primary,asphalt,,"4",,,,,Нехинская улица,,,,,,"329",node/1839788936,19.171381702100312,node/288423993,45.652582312567262,node/893968218,62.817168471708762,node/6172339291,689.059423735121754
12.10.2020,7:40,"Новгородская область, Великий Новгород",Державина ул,"12",,,,,"Новгородская область, Великий Новгород Державина ул 12",58.5423730000,31.3161279000,"0","0","0","0",way/172396361,way/172396361,,primary,asphalt,,"3",,,yes,,улица Державина,,,,,,"330",node/5273143682,21.470155733333236,node/293139220,243.393973481022698,node/892890934,543.194232158497812,node/3941904154,1235.802080197554233
11.10.2020,18:20,"Новгородская область, Великий Новгород",Кочетова ул,16/46,,,,,"Новгородская область, Великий Новгород Кочетова ул 16/46",58.5391440000,31.2237801000,"0","0","0","0",way/211147952,way/211147952,,secondary,asphalt,,"4","50",,,,улица Кочетова,,,bad,,,"331",node/6723291292,50.938135729409211,node/177602477,90.933491871350583,node/299410746,21.566741734695455,node/5144618009,221.357265215035426
11.10.2020,17:20,"Новгородская область, Великий Новгород",Державина ул,"2",,,,,"Новгородская область, Великий Новгород Державина ул 2",58.5446800000,31.3067010000,"0","0","0","0",way/172396361,way/172396361,,primary,asphalt,,"3",,,yes,,улица Державина,,,,,,"332",node/1865585172,72.664981318080265,node/5273143697,162.676441787333431,node/892890934,79.800932850686991,node/1570949864,1800.676391200039916
11.10.2020,16:15,"Новгородская область, Великий Новгород",Мира пр-кт,"33",,,,,"Новгородская область, Великий Новгород Мира пр-кт 33",58.5251999000,31.2317599000,"0","0","0","0",way/31380259,way/31380259,,primary,asphalt,,"2",,,yes,,проспект Мира,,,,yes,,"333",node/1839788936,100.390517935077852,node/288423994,25.677974324655445,node/893968218,92.093164574503191,node/6172339291,705.420627261505842
11.10.2020,15:30,"Новгородская область, Великий Новгород",Большая Санкт-Петербургская ул,"84",,,,,"Новгородская область, Великий Новгород Большая Санкт-Петербургская ул 84",58.5498180000,31.2679100000,"0","0","0","0",way/173198410,way/173198410,,primary,asphalt,,"3",,,yes,,,,,,,,"334",node/701120432,10.098020332528343,node/281000784,61.332654536496023,node/486087684,119.183148560038461,node/3940315867,1065.406068489897280
11.10.2020,14:45,"Новгородская область, Великий Новгород",Прусская ул,15 к.1,,,,,"Новгородская область, Великий Новгород Прусская ул 15 к.1",58.5175610000,31.2572081000,"0","0","0","0",way/209317604,way/209317604,,tertiary,,,"2",,,,,Прусская улица,,,,,,"335",node/7965475664,3.482838626363161,node/256640,476.232688887271024,node/898669415,42.302424821832950,node/4744460853,914.025776483539403
11.10.2020,8:20,"Новгородская область, Новгородский район",,,,"""Россия"" Москва - Тверь - Великий Новгород - Санкт-Петербург (основное направление)","538","550","Новгородская область, Новгородский район   ""Россия"" Москва - Тверь - Великий Новгород - Санкт-Петербург (основное направление) 538 550",58.5255698000,31.2741929000,"0","0","1","0",way/343394383,way/343394383,,primary,asphalt,,"4",,,,,Большая Санкт-Петербургская улица,,,,yes,,"336",node/4990972812,197.091420383545085,node/929986794,20.643818708429631,node/282529583,127.917172599045770,node/299480496,432.236438264066237
11.10.2020,1:20,"Новгородская область, Великий Новгород",Хутынская ул,"28",,,,,"Новгородская область, Великий Новгород Хутынская ул 28",58.5383750000,31.3129020000,"0","0","0","0",way/26210445,way/26210445,,unclassified,gravel,,"1",,,,,Хутынский проезд,,,,,,"337",node/5273143660,47.812927705562210,node/1982059585,610.611516194486740,node/525298735,636.872117773926902,node/3941904154,994.079171334619446
11.10.2020,0:05,"Новгородская область, Великий Новгород",Мира пр-кт,"23",,,,,"Новгородская область, Великий Новгород Мира пр-кт 23",58.5297220000,31.2325589000,"0","0","0","0",way/173256854,way/173256854,,tertiary,,,"2",,,yes,,улица Попова,,,,,,"338",node/2193675056,10.874854803767247,node/280982415,29.248091558726657,node/893968220,90.786515747087421,node/18485108,240.551531854264056
10.10.2020,21:10,"Новгородская область, Великий Новгород",Новолучанская ул,"26",,,,,"Новгородская область, Великий Новгород Новолучанская ул 26",58.5293160000,31.2655471000,"0","0","1","0",way/31396208,way/31396208,,tertiary,,,"2",,,,,Новолучанская улица,,,,,,"339",node/490556137,213.760585219967425,node/286465391,525.119649395620399,node/414572451,495.622008676400128,node/299480496,214.155224767683080
10.10.2020,18:32,"Новгородская область, Батецкий район",,,,Великий Новгород - Луга,"39","150","Новгородская область, Батецкий район   Великий Новгород - Луга 39 150",58.5143672000,31.2573960000,"0","0","0","0",way/306390141,way/306390141,,tertiary,,,"2",,,,,Орловская улица,,,,,,"340",node/3589439371,153.660512617078211,node/256640,831.282988786181477,node/4744476471,190.692139490204539,node/4744460853,758.459214925379911
10.10.2020,17:15,"Новгородская область, Великий Новгород",Мира пр-кт,"2",,,,,"Новгородская область, Великий Новгород Мира пр-кт 2",58.5454921000,31.2347508000,"0","0","0","0",way/31366976,way/31366976,,secondary,asphalt,,"4",,,,,проспект Александра Корсунова,,,bad,yes,,"341",node/3503974934,9.728155176290960,node/177601891,251.750717674289490,node/893968216,150.216823412811465,node/299484487,530.178901336130139
10.10.2020,14:40,"Новгородская область, Великий Новгород",Шимская ул,"60",,,,,"Новгородская область, Великий Новгород Шимская ул 60",58.5183385000,31.2514771000,"0","0","0","0",way/25829017,way/25829017,,tertiary,,,"2",,,,,Шимская улица,,,,,,"342",node/5692729047,68.196325477315810,node/244045107,75.218086166762689,node/892696741,164.247588793750083,node/7765694918,1139.188817587844596
10.10.2020,12:30,"Новгородская область, Великий Новгород",Воскресенский б-р,"1",,,,,"Новгородская область, Великий Новгород Воскресенский б-р 1",58.5246993000,31.2595615000,"0","0","0","0",way/31398782,way/31398782,,secondary,asphalt,,"2",,,yes,,Воскресенский бульвар,,,bad,,,"343",node/898627086,36.765342145797149,node/256640,374.090225768077460,node/286533599,39.447978789146070,node/299480496,593.755180765703926
10.10.2020,12:20,"Новгородская область, Новгородский район",,,,Великий Новгород - Нехино,"10","600","Новгородская область, Новгородский район   Великий Новгород - Нехино 10 600",58.5267812000,31.2510759000,"0","0","1","1",way/47701335,way/47701335,,secondary,asphalt,,"4",,,,,Октябрьская улица,,,bad,,,"344",node/898629221,22.563233168284746,node/293344545,43.079239538143241,node/286533607,33.647059735914517,node/6425003413,832.113082801232281
10.10.2020,11:00,"Новгородская область, Великий Новгород",,,,,,,"Новгородская область, Великий Новгород",58.5255698000,31.2741929000,"0","0","0","0",way/343394383,way/343394383,,primary,asphalt,,"4",,,,,Большая Санкт-Петербургская улица,,,,yes,,"345",node/4990972812,197.091420383545085,node/929986794,20.643818708429631,node/282529583,127.917172599045770,node/299480496,432.236438264066237
10.10.2020,10:20,"Новгородская область, Чудовский район",,,,"""Россия"" Москва - Тверь - Великий Новгород - Санкт-Петербург (основное направление)","559","0","Новгородская область, Чудовский район   ""Россия"" Москва - Тверь - Великий Новгород - Санкт-Петербург (основное направление) 559 0",58.5255698000,31.2741929000,"0","0","1","0",way/343394383,way/343394383,,primary,asphalt,,"4",,,,,Большая Санкт-Петербургская улица,,,,yes,,"346",node/4990972812,197.091420383545085,node/929986794,20.643818708429631,node/282529583,127.917172599045770,node/299480496,432.236438264066237
10.10.2020,9:55,"Новгородская область, Великий Новгород",Державина ул,"2",,,,,"Новгородская область, Великий Новгород Державина ул 2",58.5446800000,31.3067010000,"0","0","0","0",way/172396361,way/172396361,,primary,asphalt,,"3",,,yes,,улица Державина,,,,,,"347",node/1865585172,72.664981318080265,node/5273143697,162.676441787333431,node/892890934,79.800932850686991,node/1570949864,1800.676391200039916
10.10.2020,9:50,"Новгородская область, Великий Новгород",Белова ул,"9",,,,,"Новгородская область, Великий Новгород Белова ул 9",58.5225530000,31.2513300000,"0","0","0","0",way/209604615,way/209604615,,primary,asphalt,,"4",,,,,улица Белова,,,,,,"348",node/486116232,58.713405671440412,node/18485000,86.876843108762472,node/286533593,189.831521920098737,node/6425003413,1100.305149765197484
10.10.2020,1:45,"Новгородская область, Батецкий район",,,,Великий Новгород - Луга,"63","700","Новгородская область, Батецкий район   Великий Новгород - Луга 63 700",58.5143672000,31.2573960000,"0","0","0","0",way/306390141,way/306390141,,tertiary,,,"2",,,,,Орловская улица,,,,,,"349",node/3589439371,153.660512617078211,node/256640,831.282988786181477,node/4744476471,190.692139490204539,node/4744460853,758.459214925379911
09.10.2020,23:35,"Новгородская область, Великий Новгород",Большая Санкт-Петербургская ул,"41",,,,,"Новгородская область, Великий Новгород Большая Санкт-Петербургская ул 41",58.5412059000,31.2614049000,"0","0","1","0",way/26406187,way/26406187,,tertiary,,,"1",,,,,,,,,,,"350",node/3384716146,26.870407984589011,node/15500382,524.546987291736400,node/455878384,169.958352205937388,node/3940315867,421.761173410123718
09.10.2020,21:10,"Новгородская область, Великий Новгород",Большая Санкт-Петербургская ул,"28",,,,,"Новгородская область, Великий Новгород Большая Санкт-Петербургская ул 28",58.5370230000,31.2661650000,"0","0","0","0",way/207729028,way/207729028,,primary,asphalt,,"4",,,,,Большая Санкт-Петербургская улица,,,,yes,,"351",node/486096356,67.674079937553614,node/147137137,65.643857034918710,node/892959426,94.911014633010225,node/3940315859,320.824973404881177
09.10.2020,19:40,"Новгородская область, Великий Новгород",Державина ул,2а,,,,,"Новгородская область, Великий Новгород Державина ул 2а",58.5451590000,31.3043120000,"0","0","0","0",way/31388192,way/31388192,,primary,asphalt,,"2",,,yes,,улица Державина,,,,,,"352",node/4599265093,27.278381255565364,node/1833031548,443.284842281086128,node/287821243,254.384858982819281,node/1570949864,1750.985512407722126
09.10.2020,19:40,"Новгородская область, Великий Новгород",Псковская ул,"29",,,,,"Новгородская область, Великий Новгород Псковская ул 29",58.5081574000,31.2330960000,"0","0","0","0",way/35356612,way/35356612,,primary,asphalt,,"4","60",,,Р-56,Псковская улица,,,,,,"353",node/289087129,108.718366882537794,node/376294300,917.956389895661459,node/892703701,253.218109566898391,node/7765694938,433.967230535931719
09.10.2020,17:20,"Новгородская область, Великий Новгород",Сырковское ш,"3",,,,,"Новгородская область, Великий Новгород Сырковское ш 3",58.5552978000,31.2581076000,"0","0","0","0",way/208252432,way/208252432,,primary,asphalt,,"2",,,,,Сырковское шоссе,,,,,,"354",node/301129611,649.971242429168342,node/281000784,758.560358287321606,node/565333511,666.515864035604750,node/6340964470,742.109117680539725
09.10.2020,15:30,"Новгородская область, Великий Новгород",Парковая ул,22 - 3,,,,,"Новгородская область, Великий Новгород Парковая ул 22 - 3",58.5459755000,31.2972242000,"0","0","0","0",way/31400673,way/31400673,,tertiary,,,"2",,,,,Парковая улица,,,,,,"355",node/7462162481,131.287752402925406,node/2206310654,170.915685672906108,node/313454217,240.033107886164089,node/1570949864,1865.898928428213367
09.10.2020,15:25,"Новгородская область, Великий Новгород",Германа ул,"20",,,,,"Новгородская область, Великий Новгород Германа ул 20",58.5305540000,31.2598781000,"0","0","0","0",way/207311354,way/207311354,,secondary,asphalt,,"4",,,,,улица Германа,,,bad,yes,,"356",node/5692759504,149.020365641003991,node/244045070,182.831022432010542,node/414572446,24.340701149689622,node/299480496,602.885448465647642
09.10.2020,13:00,"Новгородская область, Новгородский район",,,,Великий Новгород - Сольцы - Порхов - Псков,"4","520","Новгородская область, Новгородский район   Великий Новгород - Сольцы - Порхов - Псков 4 520",58.5267812000,31.2510759000,"0","0","0","0",way/47701335,way/47701335,,secondary,asphalt,,"4",,,,,Октябрьская улица,,,bad,,,"357",node/898629221,22.563233168284746,node/293344545,43.079239538143241,node/286533607,33.647059735914517,node/6425003413,832.113082801232281
09.10.2020,12:35,"Новгородская область, Великий Новгород",Белова ул,"13",,,,,"Новгородская область, Великий Новгород Белова ул 13",58.5227640000,31.2507161000,"0","0","0","0",way/209604615,way/209604615,,primary,asphalt,,"4",,,,,улица Белова,,,,,,"358",node/486116232,16.457716908993316,node/18485000,45.174590301922819,node/286533593,172.238863610147462,node/6425003413,1068.141710058888293
09.10.2020,10:45,"Новгородская область, Великий Новгород",Ломоносова ул,25 а,,,,,"Новгородская область, Великий Новгород Ломоносова ул 25 а",58.5339340000,31.2439770000,"0","0","0","0",way/175868882,way/175868882,,secondary,asphalt,,"2",,,yes,,улица Ломоносова,,,bad,,,"359",node/302050795,0.000000000000000,node/1498044115,12.622380894485968,node/299374448,26.076269254804032,node/6425003413,246.469603720611730
09.10.2020,10:45,"Новгородская область, Великий Новгород",Большая Московская ул,44/4,,,,,"Новгородская область, Великий Новгород Большая Московская ул 44/4",58.5229080000,31.2903650000,"0","0","0","0",way/31388035,way/31388035,,tertiary,asphalt,,"4",,,,,Большая Московская улица,,,,,,"360",node/929929861,9.562986566360278,node/246262,31.314638404455941,node/525298696,46.489139764958061,node/1319831809,874.921664805073078
09.10.2020,9:40,"Новгородская область, Великий Новгород",Большая Московская ул,"78",,,,,"Новгородская область, Великий Новгород Большая Московская ул 78",58.5318690000,31.2973250000,"0","0","0","0",way/228951669,way/228951669,,secondary,asphalt,,"4",,,,,Большая Московская улица,,,bad,,,"361",node/4609028509,44.821857591661491,node/1864659869,116.694119389067581,node/525298753,32.506433904070320,node/287866254,980.962435999277659
09.10.2020,8:20,"Новгородская область, Великий Новгород",,,,,,,"Новгородская область, Великий Новгород",58.5255698000,31.2741929000,"0","0","0","0",way/343394383,way/343394383,,primary,asphalt,,"4",,,,,Большая Санкт-Петербургская улица,,,,yes,,"362",node/4990972812,197.091420383545085,node/929986794,20.643818708429631,node/282529583,127.917172599045770,node/299480496,432.236438264066237
09.10.2020,0:35,"Новгородская область, Великий Новгород",,,,,,,"Новгородская область, Великий Новгород",58.5255698000,31.2741929000,"0","0","0","0",way/343394383,way/343394383,,primary,asphalt,,"4",,,,,Большая Санкт-Петербургская улица,,,,yes,,"363",node/4990972812,197.091420383545085,node/929986794,20.643818708429631,node/282529583,127.917172599045770,node/299480496,432.236438264066237
09.10.2020,0:10,"Новгородская область, Великий Новгород",,,,,,,"Новгородская область, Великий Новгород",58.5255698000,31.2741929000,"0","0","0","0",way/343394383,way/343394383,,primary,asphalt,,"4",,,,,Большая Санкт-Петербургская улица,,,,yes,,"364",node/4990972812,197.091420383545085,node/929986794,20.643818708429631,node/282529583,127.917172599045770,node/299480496,432.236438264066237
