ID,join_id,join_@id,join_area,join_highw,join_surfa,join_int_r,join_lanes,join_maxsp,join_max_1,join_onewa,join_ref,join_name,NUM_10NOND,NUM_10DEAT,Num_50Deat,Num_50NonD,ID_id,Crossing_T,Crossing_D,Traf_light,Traf_lig_1,stops_Targ,stops_Dist,bump_TargetID,bump_Distance
"553",way/113562937,way/113562937,,unclassified,,,,,,,,,"0","0","0","0","553",node/6517694715,1887.384543987160441,node/269278679,1965.190769378895084,node/6010350323,1172.682076530822542,node/6340964470,3264.76685244225
"554",way/367701065,way/367701065,,secondary,asphalt,,,,,,,Драгунское шоссе,"0","0","0","0","554",node/4773038317,4131.896478481990016,node/7463852740,4991.221353993086268,node/2849847592,4138.959137638538778,node/1578386259,932.68401767254
"555",way/31386304,way/31386304,,primary,asphalt,,"3",,,,,улица Фёдоровский Ручей,"1","0","0","3","555",node/944087389,25.633237112799755,node/246262,358.156434994233223,node/598450199,308.037638140617958,node/1319831809,1188.57255686877
"556",way/31396489,way/31396489,,primary,asphalt,,"2",,,yes,,проспект Мира,"0","0","0","0","556",node/1839788936,87.263391650765726,node/288423994,40.887099211407303,node/893968218,50.433213342710310,node/6172339291,752.331375744602
"557",way/199408947,way/199408947,,primary,asphalt,,"4",,,,,проспект Мира,"0","0","0","3","557",node/5594305671,144.955752109322020,node/277429420,17.627604384458159,node/893968215,27.091711841362404,node/18485108,366.624514983888
"558",way/367750176,way/367750176,,secondary,asphalt,,,,,,,Армейская улица,"0","0","0","0","558",node/4773038317,4185.343516542921861,node/7463852740,6058.065167164899322,node/2849847592,4161.662218229743303,node/1578386259,491.693904547881
"559",way/31402169,way/31402169,,tertiary,,,"2",,,,,проезд Энергетиков,"0","0","0","0","559",node/6517694719,1513.252467200217779,node/295095290,1223.452577766952572,node/6010350323,401.404064370309129,node/6340964470,2402.13507953076
"560",way/207578568,way/207578568,,tertiary,,,,"90",,,49Н-1167,,"0","0","0","0","560",node/5678275733,3760.184107803433108,node/177601891,7955.320675864976693,node/267426824,7351.575934568879347,node/455885382,1243.17291830996
"561",way/113562937,way/113562937,,unclassified,,,,,,,,,"0","0","0","0","561",node/6517694715,1887.384543987160441,node/269278679,1965.190769378895084,node/6010350323,1172.682076530822542,node/6340964470,3264.76685244225
"562",way/367701065,way/367701065,,secondary,asphalt,,,,,,,Драгунское шоссе,"0","0","0","0","562",node/4773038317,3815.296793024906037,node/7463852740,4151.491533258950767,node/2849847592,3840.286584885746834,node/1578386259,1716.39128310569
