id,join_id,join_geom_buffe,join_obj_cod,join_typ_cod,join_nlevel,join_btf,join_oneway,join_surface,join_splitter,join_speedlim,join_f_rspeed,join_t_rspeed,join_lanewidth,join_f_lanes,join_t_lanes,join_f_sidewalk,join_t_sidewalk,join_f_buslanes,join_t_buslanes,join_multidigit,join_rd_name,join_rd_e_name,join_rd_l_name,join_f_parking,join_t_parking,join_bicyclanes,distance,xcoord_bad,y_coord_bad,NUM_10NOND,10dead_NUM,50dead_Num,50notdead_,Cros_HubName,Cros_HubDist,traf_HubName,traf_HubDist,Stop_HubName,Stop_HubDist,Bump_HubName,Bump_HubDist,x,y
"105","13300529","POLYGON((37.3948030971627 55.9151805882362,37.3947960932618 55.9151827882157,37.3946410952623 55.9152346183243,37.3945547703927 55.915255985197,37.3944693138227 55.9152744310921,37.3944515215901 55.9152791378604,37.3942632347065 55.9153383411498,37.39423","0","7702","7","0","0","5","0","20","5","5","0","1","1","5","5","0","0","0",,,,"4","4","0",0.000330386885103,6774777.58930,6207970.89184,0,0,0,0,n1931985294,398.788878847941305,n1839987613,382.968996029585753,n5879865614,991.473935826247725,"19645465",6086.998038976889802,37.39405,55.91529
"110","13116926","POLYGON((37.409523101436 55.8339323838311,37.4093289046703 55.8338115142783,37.40929374821 55.8337941591389,37.4092558814514 55.8337839961588,37.409216759593 55.8337814158956,37.4091778860657 55.8337865175074,37.4091407547574 55.8337991049421,37.40910679","1001446","7700","4","0","0","2","1","60","40","40","0","2","2","1","1","0","0","0",Походный пр.,,,"0","0","0",0.000034766957281,6776312.58829,6198995.70318,0,0,0,0,n1429388620,109.538637851617963,n261668611,298.717916125856277,n7556938170,100.707009333393046,"19645423",680.349980906668179,37.40939,55.83405
"124","13138768","POLYGON((37.4984890639485 55.8764562620817,37.4985262176071 55.8764437407712,37.4985602145821 55.8764242117349,37.4985897483888 55.8763984254627,37.4986136840595 55.8763673729067,37.4986311017599 55.8763322473991,37.4986413321374 55.8762943987936,37.4986","0","7702","7","0","0","2","0","20","5","5","0","1","1","5","5","0","0","0",,,,"4","4","0",0.000219151249839,6781593.64834,6204039.83438,0,0,0,0,n858223048,300.065950681440995,n35925412,617.822291129764267,n8166993996,761.822608502824323,"1711838",837.310510075902130,37.49864,55.87616
"131","13135210","POLYGON((37.4958267478066 55.8573846006944,37.4958356088687 55.8573875533624,37.4960150024309 55.8574427112878,37.4960199286981 55.8574441570212,37.4960440933793 55.8574509131054,37.4960527349996 55.8574531226468,37.4960807624364 55.8574596266372,37.4960","0","7702","7","0","0","2","0","20","5","5","0","1","1","5","5","0","0","0",,,,"4","4","0",0.000047088930987,6781562.50222,6201926.99839,0,0,0,0,n2689466615,81.205802028002381,n266424885,332.394456553534496,n1371437261,498.672191544740087,"1711914",961.254841837974254,37.49595,55.85726
"168","12335840","POLYGON((37.4594757464329 55.8326413852722,37.4594750627925 55.8326425910549,37.4594627509289 55.832679814644,37.4594579375962 55.8327187249177,37.4594608077683 55.8327578265759,37.4594712511459 55.832795616964,37.4594888663959 55.8328306438185,37.459512","0","7702","7","0","0","2","0","20","5","5","0","1","1","5","5","0","0","0",,,,"4","4","0",0.000053700622842,6779475.24567,6199036.56214,0,0,0,0,n3143422263,39.885678450369866,n5256743057,383.897168983722963,n1468630250,378.686669343532287,"1712011",860.370457784227256,37.45975,55.83259
"170","19402771","POLYGON((37.4798192424931 55.8218846426541,37.4798141658167 55.8218802368996,37.4797617042041 55.8218362320631,37.4797561125272 55.8218317104971,37.4797011356318 55.8217888662908,37.4796958449797 55.8217848822434,37.47963826297 55.8217429968136,37.479633","0","7701","7","0","0","2","0","20","5","5","0","0","0","5","5","0","0","0",,,,"0","1","3",0.000289157113948,6780728.23939,6197906.89131,0,0,0,0,n6819366412,665.833798533040067,n2463151794,879.408010754482916,n2000431030,835.698239027934619,"19645371",1560.288736461470535,37.47852,55.82175
"185","12337279","POLYGON((37.5615753995293 55.7844490890971,37.5615699401215 55.7844453394391,37.5610875448139 55.7841256428611,37.5610528978725 55.7841072916481,37.5610153365183 55.7840960523314,37.5609763042131 55.7840923568318,37.5609373009465 55.7840963471652,37.5608","0","7702","7","0","0","2","0","20","5","5","0","1","1","5","5","0","0","0",,,,"4","4","0",0.000314068531164,6786255.99010,6194160.22833,0,0,0,0,n2760736531,180.652034689693210,n1105179639,180.459299003577485,n1958503615,150.412981127095634,"1711948",212.390036326407710,37.56250,55.78497
"192","12006465","POLYGON((37.5774952876377 55.820627306309,37.5775259131145 55.8206364431934,37.5775571744864 55.8206431047443,37.5775891510765 55.8206472608999,37.577622388742 55.8206488758212,37.5776465404805 55.8206485890915,37.5776695373517 55.8206469237039,37.577692","0","7701","7","0","0","2","0","20","5","5","0","0","0","5","5","0","0","0",,,,"0","1","0",0.000102926067403,6786940.97722,6198179.73069,0,0,0,0,n4297745333,186.461863953564915,n303254699,240.837965000673364,n231014000,180.232593957172156,"56043047",355.806063675443227,37.57762,55.82055
"200","13156841","POLYGON((37.4131393119678 55.8087345655655,37.413145613745 55.808730608282,37.4136182059175 55.8084214321525,37.4140968894499 55.8081486100292,37.4142740562186 55.8080564282881,37.4143068955138 55.8080350096453,37.4143349252413 55.8080075959271,37.414357","0","7702","7","0","0","2","0","20","5","5","0","1","1","5","5","0","0","0",,,,"4","4","0",0.000266465347202,6776713.33435,6196151.53885,0,0,0,0,n250559776,236.922632927842159,n5226964011,306.797874091818414,n6398564169,312.015206181357996,"628293599",236.201785961250522,37.41288,55.80835
"201","13300320","POLYGON((37.4027454415787 55.949807000155,37.4027499957404 55.9498075565287,37.4028965109632 55.9498237526851,37.4029019521243 55.9498242790014,37.4030159483339 55.9498337351393,37.4030551505332 55.9498331308713,37.4030934815863 55.9498248902445,37.40312","0","7700","6","0","0","2","0","60","25","25","0","1","1","5","5","0","0","0",,,,"0","0","0",0.000071476671223,6775095.37011,6211817.90733,0,0,0,0,n7309968825,550.198936509681289,n277515585,3495.168338797539036,n5879865609,575.785559281102451,"926244678",8738.663651666605801,37.40303,55.94956
"205","12354344","POLYGON((37.5602333012013 55.7891523783728,37.5602268369305 55.7891546896759,37.5601962942109 55.7891662051856,37.5601892098166 55.78916903165,37.5601598349068 55.7891814057685,37.5601527552705 55.7891845508505,37.560124458339 55.789197783577,37.56011676","0","7701","7","0","0","2","0","20","5","5","0","0","0","5","5","0","0","0",,,,"0","1","0",0.000863998711500,6786005.44252,6194803.80543,0,0,0,0,n5469884114,164.712441294831763,n53947709,182.874374677213297,n6937811144,129.006280286307714,"55829209",777.550622688112867,37.55920,55.79088
"207","13195467","POLYGON((37.5664890283185 55.9059759419072,37.5665085128777 55.9060078805613,37.5665316374879 55.9060738332951,37.5665417515091 55.9061337183918,37.5665250904291 55.9061646137221,37.5665109583531 55.9061976035142,37.5664894886178 55.9062635180627,37.5664","0","7701","7","0","0","2","0","20","5","5","0","0","0","5","5","0","0","0",,,,"0","1","0",0.000055970827915,6785623.86511,6207623.67505,0,0,0,0,n3973543486,214.778183223610426,n255617060,472.365880581651595,n1032343688,483.770512763138754,"1711903",883.847941726890326,37.56660,55.90588
"219","13241101","POLYGON((37.5574929222551 55.9474212812033,37.5572819007762 55.9475296836212,37.5572489502572 55.947550930759,37.5572207779841 55.9475781979664,37.5571984666016 55.9476104373798,37.5571828735236 55.9476464100567,37.5571745979833 55.9476847335874,37.55717","0","7702","7","0","0","2","0","20","5","5","0","1","1","5","5","0","0","0",,,,"4","4","0",0.000538274585050,6784800.22456,6212112.24418,0,0,0,0,n7842256398,453.859095261817174,n2031705721,1534.454781984355350,n4516569724,703.478111909224481,"926244678",2075.265730760435417,37.55820,55.94656
